Created Pattern  ##     N   immr  imms
---------------- --     -   ----  ----
0000000000000001 01 --  1    00    00
0000000000000002 01 --  1    3f    00
0000000000000003 01 --  1    00    01
0000000000000004 01 --  1    3e    00
0000000000000006 01 --  1    3f    01
0000000000000007 01 --  1    00    02
0000000000000008 01 --  1    3d    00
000000000000000c 01 --  1    3e    01
000000000000000e 01 --  1    3f    02
000000000000000f 01 --  1    00    03
0000000000000010 01 --  1    3c    00
0000000000000018 01 --  1    3d    01
000000000000001c 01 --  1    3e    02
000000000000001e 01 --  1    3f    03
000000000000001f 01 --  1    00    04
0000000000000020 01 --  1    3b    00
0000000000000030 01 --  1    3c    01
0000000000000038 01 --  1    3d    02
000000000000003c 01 --  1    3e    03
000000000000003e 01 --  1    3f    04
000000000000003f 01 --  1    00    05
0000000000000040 01 --  1    3a    00
0000000000000060 01 --  1    3b    01
0000000000000070 01 --  1    3c    02
0000000000000078 01 --  1    3d    03
000000000000007c 01 --  1    3e    04
000000000000007e 01 --  1    3f    05
000000000000007f 01 --  1    00    06
0000000000000080 01 --  1    39    00
00000000000000c0 01 --  1    3a    01
00000000000000e0 01 --  1    3b    02
00000000000000f0 01 --  1    3c    03
00000000000000f8 01 --  1    3d    04
00000000000000fc 01 --  1    3e    05
00000000000000fe 01 --  1    3f    06
00000000000000ff 01 --  1    00    07
0000000000000100 01 --  1    38    00
0000000000000180 01 --  1    39    01
00000000000001c0 01 --  1    3a    02
00000000000001e0 01 --  1    3b    03
00000000000001f0 01 --  1    3c    04
00000000000001f8 01 --  1    3d    05
00000000000001fc 01 --  1    3e    06
00000000000001fe 01 --  1    3f    07
00000000000001ff 01 --  1    00    08
0000000000000200 01 --  1    37    00
0000000000000300 01 --  1    38    01
0000000000000380 01 --  1    39    02
00000000000003c0 01 --  1    3a    03
00000000000003e0 01 --  1    3b    04
00000000000003f0 01 --  1    3c    05
00000000000003f8 01 --  1    3d    06
00000000000003fc 01 --  1    3e    07
00000000000003fe 01 --  1    3f    08
00000000000003ff 01 --  1    00    09
0000000000000400 01 --  1    36    00
0000000000000600 01 --  1    37    01
0000000000000700 01 --  1    38    02
0000000000000780 01 --  1    39    03
00000000000007c0 01 --  1    3a    04
00000000000007e0 01 --  1    3b    05
