## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
01 0000000000000001 --  1    00    00
01 0000000000000002 --  1    3f    00
01 0000000000000003 --  1    00    01
01 0000000000000004 --  1    3e    00
01 0000000000000006 --  1    3f    01
01 0000000000000007 --  1    00    02
01 0000000000000008 --  1    3d    00
01 000000000000000c --  1    3e    01
01 000000000000000e --  1    3f    02
01 000000000000000f --  1    00    03
01 0000000000000010 --  1    3c    00
01 0000000000000018 --  1    3d    01
01 000000000000001c --  1    3e    02
01 000000000000001e --  1    3f    03
01 000000000000001f --  1    00    04
01 0000000000000020 --  1    3b    00
01 0000000000000030 --  1    3c    01
01 0000000000000038 --  1    3d    02
01 000000000000003c --  1    3e    03
01 000000000000003e --  1    3f    04
01 000000000000003f --  1    00    05
01 0000000000000040 --  1    3a    00
01 0000000000000060 --  1    3b    01
01 0000000000000070 --  1    3c    02
01 0000000000000078 --  1    3d    03
01 000000000000007c --  1    3e    04
01 000000000000007e --  1    3f    05
01 000000000000007f --  1    00    06
01 0000000000000080 --  1    39    00
01 00000000000000c0 --  1    3a    01
01 00000000000000e0 --  1    3b    02
01 00000000000000f0 --  1    3c    03
01 00000000000000f8 --  1    3d    04
01 00000000000000fc --  1    3e    05
01 00000000000000fe --  1    3f    06
01 00000000000000ff --  1    00    07
01 0000000000000100 --  1    38    00
01 0000000000000180 --  1    39    01
01 00000000000001c0 --  1    3a    02
01 00000000000001e0 --  1    3b    03
01 00000000000001f0 --  1    3c    04
01 00000000000001f8 --  1    3d    05
01 00000000000001fc --  1    3e    06
01 00000000000001fe --  1    3f    07
01 00000000000001ff --  1    00    08
01 0000000000000200 --  1    37    00
01 0000000000000300 --  1    38    01
01 0000000000000380 --  1    39    02
01 00000000000003c0 --  1    3a    03
01 00000000000003e0 --  1    3b    04
01 00000000000003f0 --  1    3c    05
01 00000000000003f8 --  1    3d    06
01 00000000000003fc --  1    3e    07
01 00000000000003fe --  1    3f    08
01 00000000000003ff --  1    00    09
01 0000000000000400 --  1    36    00
01 0000000000000600 --  1    37    01
01 0000000000000700 --  1    38    02
01 0000000000000780 --  1    39    03
01 00000000000007c0 --  1    3a    04
01 00000000000007e0 --  1    3b    05
01 00000000000007f0 --  1    3c    06
01 00000000000007f8 --  1    3d    07
01 00000000000007fc --  1    3e    08
01 00000000000007fe --  1    3f    09
01 00000000000007ff --  1    00    0a
01 0000000000000800 --  1    35    00
01 0000000000000c00 --  1    36    01
01 0000000000000e00 --  1    37    02
01 0000000000000f00 --  1    38    03
01 0000000000000f80 --  1    39    04
01 0000000000000fc0 --  1    3a    05
01 0000000000000fe0 --  1    3b    06
01 0000000000000ff0 --  1    3c    07
01 0000000000000ff8 --  1    3d    08
01 0000000000000ffc --  1    3e    09
01 0000000000000ffe --  1    3f    0a
01 0000000000000fff --  1    00    0b
01 0000000000001000 --  1    34    00
01 0000000000001800 --  1    35    01
01 0000000000001c00 --  1    36    02
01 0000000000001e00 --  1    37    03
01 0000000000001f00 --  1    38    04
01 0000000000001f80 --  1    39    05
01 0000000000001fc0 --  1    3a    06
